Price,Bed,Bath,Sqft,Link
" $388,840 ",4,3,2450,https://www.realtor.com/realestateandhomes-detail/805-John-Chisholm-Way_Yukon_OK_73099_M95048-53104
" $525,000 ",3,2.5+,3581,https://www.realtor.com/realestateandhomes-detail/9841-Stonebridge-Dr_Yukon_OK_73099_M79635-92023
" $297,990 ",3,2,1750,https://www.realtor.com/realestateandhomes-detail/9101-NW-124th-St_Yukon_OK_73099_M94797-13105
" $333,837 ",3,2,2136,https://www.realtor.com/realestateandhomes-detail/12816-NW-4th-Ter_Yukon_OK_73099_M93805-67742
" $291,190 ",3,2,1625,https://www.realtor.com/realestateandhomes-detail/9104-NW-124th-St_Yukon_OK_73099_M90498-28198
" $342,340 ",3,2,1970,https://www.realtor.com/realestateandhomes-detail/9100-NW-124th-St_Yukon_OK_73099_M93473-71358
" $217,436 ",3,2,1257,https://www.realtor.com/realestateandhomes-detail/11441-SW-12th-St_Yukon_OK_73099_M97901-96474
" $297,990 ",4,2,1700,https://www.realtor.com/realestateandhomes-detail/9105-NW-124th-St_Yukon_OK_73099_M97933-45581
" $246,692 ",3,2,1234,https://www.realtor.com/realestateandhomes-detail/408-Kearny-Ln_Yukon_OK_73099_M99251-02944
" $334,840 ",4,2,1950,https://www.realtor.com/realestateandhomes-detail/10821-NW-8th-St_Yukon_OK_73099_M93370-00604
" $213,609 ",3,2,1257,https://www.realtor.com/realestateandhomes-detail/11537-SW-12th-St_Yukon_OK_73099_M97085-39816
" $324,990 ",4,2,2253,https://www.realtor.com/realestateandhomes-detail/10629-SW-20th-St_Yukon_OK_73099_M74587-02027
" $319,840 ",4,2,1850,https://www.realtor.com/realestateandhomes-detail/10825-NW-8th-St_Yukon_OK_73099_M96860-50297
" $214,073 ",3,2,1257,https://www.realtor.com/realestateandhomes-detail/11649-SW-12th-St_Yukon_OK_73099_M91805-37827
" $498,340 ",5,3.5,3350,https://www.realtor.com/realestateandhomes-detail/9121-NW-115th-Ter_Yukon_OK_73099_M96912-10047
" $465,000 ",4,3,2734,https://www.realtor.com/realestateandhomes-detail/14512-Rochefort-Ln_Yukon_OK_73099_M92471-28136
" $452,340 ",5,3,2950,https://www.realtor.com/realestateandhomes-detail/9129-NW-115th-Ter_Yukon_OK_73099_M91841-35396
" $299,190 ",4,2,1700,https://www.realtor.com/realestateandhomes-detail/9108-NW-124th-St_Yukon_OK_73099_M91776-31862
" $284,990 ",3,2,1625,https://www.realtor.com/realestateandhomes-detail/9117-NW-124th-St_Yukon_OK_73099_M94282-08691
" $368,340 ",4,3,2300,https://www.realtor.com/realestateandhomes-detail/800-Bison-Crossing-Dr_Yukon_OK_73099_M91273-71669
" $452,340 ",5,3,2950,https://www.realtor.com/realestateandhomes-detail/9115-NW-115th-Ter_Yukon_OK_73099_M92143-36997
" $221,915 ",3,2,1347,https://www.realtor.com/realestateandhomes-detail/11445-SW-12th-St_Yukon_OK_73099_M94999-36582
" $378,840 ",4,3,2450,https://www.realtor.com/realestateandhomes-detail/808-Chisholm-Trails-Dr_Yukon_OK_73099_M95679-94488
" $383,840 ",4,3,2450,https://www.realtor.com/realestateandhomes-detail/804-Bison-Crossing-Dr_Yukon_OK_73099_M90810-05979
" $695,000 ",4,3,3612,https://www.realtor.com/realestateandhomes-detail/9701-N-Piedmont-Rd_Yukon_OK_73099_M70138-85251
" $219,864 ",3,2,1257,https://www.realtor.com/realestateandhomes-detail/11449-SW-12th-St_Yukon_OK_73099_M92133-04649
" $410,340 ",4,3.5,2500,https://www.realtor.com/realestateandhomes-detail/9125-NW-115th-Ter_Yukon_OK_73099_M99335-36200
" $221,307 ",3,2,1347,https://www.realtor.com/realestateandhomes-detail/11645-SW-12th-St_Yukon_OK_73099_M99279-81564
" $391,000 ",4,3,2370,https://www.realtor.com/realestateandhomes-detail/508-Braxton-Way_Yukon_OK_73099_M70212-79376
" $413,840 ",5,3,2520,https://www.realtor.com/realestateandhomes-detail/9117-NW-115th-Ter_Yukon_OK_73099_M97761-74067
" $402,560 ",4,2.5,2368,https://www.realtor.com/realestateandhomes-detail/10617-Two-Lakes-Dr_Yukon_OK_73099_M99910-96576
" $424,900 ",3,2.5,2403,https://www.realtor.com/realestateandhomes-detail/10100-NW-94th-St_Yukon_OK_73099_M78941-70400
" $410,340 ",4,3.5,2500,https://www.realtor.com/realestateandhomes-detail/9125-NW-115th-St_Yukon_OK_73099_M98412-02971
" $381,700 ",4,3,2496,https://www.realtor.com/realestateandhomes-detail/413-Tralee-Ln_Yukon_OK_73099_M70214-28440
" $307,914 ",3,2,1810,https://www.realtor.com/realestateandhomes-detail/2008-Sama-Way_Yukon_OK_73099_M99266-68023
" $298,990 ",4,2,1991,https://www.realtor.com/realestateandhomes-detail/10717-SW-20th-St_Yukon_OK_73099_M90577-34508
" $314,990 ",4,2,2117,https://www.realtor.com/realestateandhomes-detail/10729-SW-20th-St_Yukon_OK_73099_M98439-72186
" $840,000 ",4,3.5+,5927,https://www.realtor.com/realestateandhomes-detail/2201-Falling-Springs-Ln_Yukon_OK_73099_M75217-31728
" $189,370 ",3,2,1076,https://www.realtor.com/realestateandhomes-detail/11605-NW-100th-St_Yukon_OK_73099_M93308-95200
" $309,021 ",3,2,1655,https://www.realtor.com/realestateandhomes-detail/10433-NW-33rd-St_Yukon_OK_73099_M99436-49494
" $269,990 ",4,2,2031,https://www.realtor.com/realestateandhomes-detail/10421-NW-25th-St_Yukon_OK_73099_M94722-77517
" $197,995 ",3,2,1386,https://www.realtor.com/realestateandhomes-detail/11033-NW-94th-Ter_Yukon_OK_73099_M94713-27635
" $304,190 ",3,2,1750,https://www.realtor.com/realestateandhomes-detail/9021-NW-124th-St_Yukon_OK_73099_M92046-06296
" $278,490 ",4,3,2042,https://www.realtor.com/realestateandhomes-detail/10441-NW-25th-St_Yukon_OK_73099_M92144-86164
" $347,919 ",4,2.5,2402,https://www.realtor.com/realestateandhomes-detail/801-Firefork-Ave_Yukon_OK_73099_M70283-97171
" $349,840 ",4,2,1950,https://www.realtor.com/realestateandhomes-detail/9017-NW-124th-St_Yukon_OK_73099_M96875-60447
" $198,995 ",3,2,1386,https://www.realtor.com/realestateandhomes-detail/11101-NW-94th-Ter_Yukon_OK_73099_M97492-53001
" $335,340 ",4,2,1900,https://www.realtor.com/realestateandhomes-detail/9024-NW-124th-St_Yukon_OK_73099_M92829-06444
" $270,950 ",3,2,1646,https://www.realtor.com/realestateandhomes-detail/4505-Oasis-Ln_Yukon_OK_73099_M79249-14803
" $283,091 ",3,2,1813,https://www.realtor.com/realestateandhomes-detail/3301-MT-Nebo-Dr_Yukon_OK_73099_M99030-96784
" $297,990 ",3,2,1750,https://www.realtor.com/realestateandhomes-detail/9113-NW-124th-St_Yukon_OK_73099_M92494-07925
" $257,121 ",3,2,1363,https://www.realtor.com/realestateandhomes-detail/9020-NW-142nd-St_Yukon_OK_73099_M99862-39385
" $257,121 ",3,2,1521,https://www.realtor.com/realestateandhomes-detail/9112-NW-142nd-St_Yukon_OK_73099_M94788-52558
" $299,190 ",4,2,1700,https://www.realtor.com/realestateandhomes-detail/9025-NW-124th-St_Yukon_OK_73099_M93479-23247
" $194,995 ",3,2,1329,https://www.realtor.com/realestateandhomes-detail/9400-Bexhill-Dr_Yukon_OK_73099_M94814-16504
" $194,995 ",3,2,1329,https://www.realtor.com/realestateandhomes-detail/11112-NW-94th-Ter_Yukon_OK_73099_M90758-48084
" $498,340 ",5,3.5,3350,https://www.realtor.com/realestateandhomes-detail/11613-Beckham-Dr_Yukon_OK_73099_M94452-66883
" $199,995 ",3,2,1329,https://www.realtor.com/realestateandhomes-detail/11105-NW-94th-Ter_Yukon_OK_73099_M93809-32571
" $199,995 ",3,2,1386,https://www.realtor.com/realestateandhomes-detail/11020-NW-94th-St_Yukon_OK_73099_M92785-74872
" $194,995 ",3,2,1300,https://www.realtor.com/realestateandhomes-detail/11016-NW-94th-St_Yukon_OK_73099_M91788-47965
" $194,995 ",3,2,1300,https://www.realtor.com/realestateandhomes-detail/11008-NW-94th-Ter_Yukon_OK_73099_M94746-62714
" $190,995 ",3,2,1300,https://www.realtor.com/realestateandhomes-detail/11108-NW-94th-Ter_Yukon_OK_73099_M94300-71675
" $214,420 ",3,2,1257,https://www.realtor.com/realestateandhomes-detail/11633-SW-12th-St_Yukon_OK_73099_M94042-82396
" $214,028 ",3,2,1257,https://www.realtor.com/realestateandhomes-detail/11625-SW-12th-St_Yukon_OK_73099_M91357-71923
" $459,601 ",3,2.5,2589,https://www.realtor.com/realestateandhomes-detail/2825-Bens-Cir_Yukon_OK_73099_M97174-05775
" $271,856 ",3,2,1586,https://www.realtor.com/realestateandhomes-detail/3421-MT-Nebo-Dr_Yukon_OK_73099_M96360-27263
" $237,490 ",3,2,1575,https://www.realtor.com/realestateandhomes-detail/10429-NW-25th-St_Yukon_OK_73099_M98510-08638
" $221,469 ",3,2,1347,https://www.realtor.com/realestateandhomes-detail/11621-SW-12th-St_Yukon_OK_73099_M99840-54739
" $213,609 ",3,2,1257,https://www.realtor.com/realestateandhomes-detail/11641-SW-12th-St_Yukon_OK_73099_M96782-11270
" $459,121 ",4,3,2470,https://www.realtor.com/realestateandhomes-detail/2901-Bens-Cir_Yukon_OK_73099_M90239-01338
" $222,306 ",3,2,1347,https://www.realtor.com/realestateandhomes-detail/11637-SW-12th-St_Yukon_OK_73099_M95215-85265
" $222,170 ",3,2,1347,https://www.realtor.com/realestateandhomes-detail/11629-SW-12th-St_Yukon_OK_73099_M94079-29022
" $282,900 ",3,2,1730,https://www.realtor.com/realestateandhomes-detail/9113-Anaum-Ln_Yukon_OK_73099_M96623-92206
" $276,900 ",3,2,1625,https://www.realtor.com/realestateandhomes-detail/9120-Anaum-Ln_Yukon_OK_73099_M98738-54232
" $263,900 ",3,2,1541,https://www.realtor.com/realestateandhomes-detail/9305-Anaum-Ln_Yukon_OK_73099_M97230-67655
" $274,900 ",3,2,1625,https://www.realtor.com/realestateandhomes-detail/9109-Anaum-Ln_Yukon_OK_73099_M98541-66775
" $269,900 ",3,2,1592,https://www.realtor.com/realestateandhomes-detail/9104-Anaum-Ln_Yukon_OK_73099_M92759-03618
" $370,500 ",3,2.5,2330,https://www.realtor.com/realestateandhomes-detail/11113-SW-30th-St_Yukon_OK_73099_M93763-43114
" $379,750 ",3,2.5,2388,https://www.realtor.com/realestateandhomes-detail/11112-SW-30th-St_Yukon_OK_73099_M98338-04720
" $199,000 ",3,2,2087,https://www.realtor.com/realestateandhomes-detail/11704-SW-3rd-Ter_Yukon_OK_73099_M74383-01631
" $381,840 ",4,3,2450,https://www.realtor.com/realestateandhomes-detail/11815-Kylie-Elizabeth-Rd_Yukon_OK_73099_M96367-98552
" $415,340 ",4,3,2640,https://www.realtor.com/realestateandhomes-detail/9205-NW-116th-St_Yukon_OK_73099_M95291-76732
" $452,840 ",4,3,2850,https://www.realtor.com/realestateandhomes-detail/9201-NW-116th-St_Yukon_OK_73099_M94776-12082
" $413,840 ",5,3,2520,https://www.realtor.com/realestateandhomes-detail/11609-Beckham-Dr_Yukon_OK_73099_M96175-05629
" $338,840 ",4,2,1950,https://www.realtor.com/realestateandhomes-detail/705-John-Chisholm-Way_Yukon_OK_73099_M99918-07545
" $224,364 ",3,2,1158,https://www.realtor.com/realestateandhomes-detail/3408-Pagoda-Pead-Dr_Yukon_OK_73099_M96326-55428
" $302,609 ",3,2,1682,https://www.realtor.com/realestateandhomes-detail/12812-NW-4th-Ter_Yukon_OK_73099_M94368-11351
" $251,648 ",3,2,1234,https://www.realtor.com/realestateandhomes-detail/5-Evermore-Ln_Yukon_OK_73099_M79020-30335
" $386,840 ",4,3,2450,https://www.realtor.com/realestateandhomes-detail/9121-NW-118th-St_Yukon_OK_73099_M98830-43631
" $272,168 ",3,2,1385,https://www.realtor.com/realestateandhomes-detail/12712-NW-3rd-Ter_Yukon_OK_73099_M99389-82421
" $425,082 ",3,2.5,2483,https://www.realtor.com/realestateandhomes-detail/10500-NW-33rd-St_Yukon_OK_73099_M91077-85305
" $378,840 ",4,3,2350,https://www.realtor.com/realestateandhomes-detail/14020-Kamber-Dr_Yukon_OK_73099_M92524-11757
" $384,840 ",4,3,2350,https://www.realtor.com/realestateandhomes-detail/13928-Kamber-Dr_Yukon_OK_73099_M93797-93699
" $393,840 ",4,3,2450,https://www.realtor.com/realestateandhomes-detail/13920-Kamber-Dr_Yukon_OK_73099_M93235-28473
" $393,840 ",4,3,2450,https://www.realtor.com/realestateandhomes-detail/14012-Kamber-Dr_Yukon_OK_73099_M92076-72527
" $327,135 ",4,2,1989,https://www.realtor.com/realestateandhomes-detail/12820-NW-4th-Ter_Yukon_OK_73099_M90596-50174
" $338,368 ",3,2,1864,https://www.realtor.com/realestateandhomes-detail/3313-Gunnison-River-Dr_Yukon_OK_73099_M98990-54648
" $297,662 ",3,2,1586,https://www.realtor.com/realestateandhomes-detail/12808-NW-4th-Ter_Yukon_OK_73099_M93218-00089
" $318,752 ",3,2,1853,https://www.realtor.com/realestateandhomes-detail/12824-NW-4th-Ter_Yukon_OK_73099_M98844-19457
" $1,825,000 ",5,4.5+,7883,https://www.realtor.com/realestateandhomes-detail/13616-W-Hefner-Rd_Yukon_OK_73099_M99032-96974
" $192,995 ",3,2,1300,https://www.realtor.com/realestateandhomes-detail/11032-NW-94th-Ter_Yukon_OK_73099_M99737-87616
" $254,121 ",3,2,1417,https://www.realtor.com/realestateandhomes-detail/9012-NW-142nd-St_Yukon_OK_73099_M97006-63491
" $221,469 ",3,2,1347,https://www.realtor.com/realestateandhomes-detail/11533-SW-12th-St_Yukon_OK_73099_M98867-19109
" $194,995 ",3,2,1329,https://www.realtor.com/realestateandhomes-detail/9412-Bexhill-Dr_Yukon_OK_73099_M99032-14966
" $199,995 ",3,2,1329,https://www.realtor.com/realestateandhomes-detail/11100-NW-94th-Ter_Yukon_OK_73099_M97349-52277
" $236,857 ",3,2,1491,https://www.realtor.com/realestateandhomes-detail/11529-SW-12th-St_Yukon_OK_73099_M92403-82380
" $214,490 ",3,2,1257,https://www.realtor.com/realestateandhomes-detail/11609-SW-12th-St_Yukon_OK_73099_M97008-09788
" $222,056 ",3,2,1347,https://www.realtor.com/realestateandhomes-detail/11613-SW-12th-St_Yukon_OK_73099_M94248-84338
" $257,857 ",3,2,1689,https://www.realtor.com/realestateandhomes-detail/9433-Ashford-Dr_Yukon_OK_73099_M78989-40441
" $222,061 ",3,2,1347,https://www.realtor.com/realestateandhomes-detail/11605-SW-12th-St_Yukon_OK_73099_M96677-94839
" $221,307 ",3,2,1347,https://www.realtor.com/realestateandhomes-detail/11541-SW-12th-St_Yukon_OK_73099_M93153-60253
" $284,874 ",3,2,1875,https://www.realtor.com/realestateandhomes-detail/9500-Bexhill-Dr_Yukon_OK_73099_M98575-33400
" $241,291 ",3,2,1495,https://www.realtor.com/realestateandhomes-detail/9805-Wessex-Dr_Yukon_OK_73099_M70274-65523
" $387,250 ",4,2.5,2434,https://www.realtor.com/realestateandhomes-detail/11101-SW-30th-St_Yukon_OK_73099_M99600-41385
" $343,990 ",4,3,2447,https://www.realtor.com/realestateandhomes-detail/10929-SW-19th-St_Yukon_OK_73099_M74613-85175
" $390,840 ",5,3,2520,https://www.realtor.com/realestateandhomes-detail/812-Chisholm-Trails-Dr_Yukon_OK_73099_M91730-88378
" $334,964 ",3,2.5,2030,https://www.realtor.com/realestateandhomes-detail/11800-Corie-Nicole-Ln_Yukon_OK_73099_M91431-68355
" $256,121 ",3,2,1521,https://www.realtor.com/realestateandhomes-detail/9016-NW-142nd-St_Yukon_OK_73099_M90263-20419
" $375,000 ",3,2.5,2122,https://www.realtor.com/realestateandhomes-detail/9309-Lupine-Rd_Yukon_OK_73099_M95520-01711
" $278,950 ",4,2,1768,https://www.realtor.com/realestateandhomes-detail/805-Dover-Mansion-Rd_Yukon_OK_73099_M89999-25965
" $417,180 ",4,3.5,2454,https://www.realtor.com/realestateandhomes-detail/10716-Coeur-Ct_Yukon_OK_73099_M96983-83798
" $279,878 ",3,2,1586,https://www.realtor.com/realestateandhomes-detail/433-Irish-Ln_Yukon_OK_73099_M96185-79920
" $261,307 ",3,2,1464,https://www.realtor.com/realestateandhomes-detail/3300-MT-Nebo-Dr_Yukon_OK_73099_M91828-35869
" $278,547 ",3,2,1586,https://www.realtor.com/realestateandhomes-detail/473-Compass-Dr_Yukon_OK_73099_M99435-43334
" $266,710 ",3,2,1464,https://www.realtor.com/realestateandhomes-detail/404-Kearny-Ln_Yukon_OK_73099_M91270-68009
" $495,900 ",3,3.5,3640,https://www.realtor.com/realestateandhomes-detail/4005-Stonebridge-Cir_Yukon_OK_73099_M79537-53814
" $281,572 ",4,2,1486,https://www.realtor.com/realestateandhomes-detail/436-Kearny-Ln_Yukon_OK_73099_M90135-61423
" $427,945 ",3,2.5,2888,https://www.realtor.com/realestateandhomes-detail/3401-Gunnison-River-Dr_Yukon_OK_73099_M94023-68166
" $349,761 ",3,2,2049,https://www.realtor.com/realestateandhomes-detail/812-Scully-Rd_Yukon_OK_73099_M70286-95299
" $351,099 ",4,2,2105,https://www.realtor.com/realestateandhomes-detail/709-Firefork-Ave_Yukon_OK_73099_M70283-59905
" $574,000 ",4,3.5,3444,https://www.realtor.com/realestateandhomes-detail/612-Stonemill-Blvd_Yukon_OK_73099_M76015-92643
" $384,977 ",3,2.5,2483,https://www.realtor.com/realestateandhomes-detail/808-Firefork-Ave_Yukon_OK_73099_M70281-36310
" $263,358 ",4,2,1486,https://www.realtor.com/realestateandhomes-detail/3312-Pagoda-Pead-Dr_Yukon_OK_73099_M93790-99803
" $312,745 ",3,2,1775,https://www.realtor.com/realestateandhomes-detail/701-Firefork-Ave_Yukon_OK_73099_M70282-10841
" $363,407 ",3,2,2105,https://www.realtor.com/realestateandhomes-detail/10424-NW-34th-St_Yukon_OK_73099_M79018-06739
" $343,448 ",3,2,1907,https://www.realtor.com/realestateandhomes-detail/809-Scully-Rd_Yukon_OK_73099_M70291-05224
" $350,460 ",4,2,1963,https://www.realtor.com/realestateandhomes-detail/10404-NW-34th-St_Yukon_OK_73099_M79010-98686
" $244,286 ",3,2,1158,https://www.realtor.com/realestateandhomes-detail/428-Kearny-Ln_Yukon_OK_73099_M96770-98962
" $361,702 ",4,2,2188,https://www.realtor.com/realestateandhomes-detail/808-Scully-Rd_Yukon_OK_73099_M70287-32565
" $381,589 ",3,2,2327,https://www.realtor.com/realestateandhomes-detail/10408-NW-34th-St_Yukon_OK_73099_M79012-85016
" $519,900 ",4,3.5,2715,https://www.realtor.com/realestateandhomes-detail/14512-Chambord-Dr_Yukon_OK_73099_M95223-86461
" $529,900 ",4,3.5,2688,https://www.realtor.com/realestateandhomes-detail/14516-Chambord-Dr_Yukon_OK_73099_M97562-30629
