Price,Bed,Bath,Sqft,Link
" $332,900 ",3,2,1891,https://www.realtor.com/realestateandhomes-detail/11704-NW-104th-St_Yukon_OK_73099_M91324-20567
" $401,121 ",3,2.5+,2713,https://www.realtor.com/realestateandhomes-detail/705-Firefork-Ave_Yukon_OK_73099_M70283-22639
" $283,908 ",4,2,1707,https://www.realtor.com/realestateandhomes-detail/432-Kearny-Ln_Yukon_OK_73099_M92527-56776
" $261,993 ",3,2,1464,https://www.realtor.com/realestateandhomes-detail/12620-NW-3rd-St_Yukon_OK_73099_M93208-28742
" $274,961 ",4,2,1486,https://www.realtor.com/realestateandhomes-detail/412-Kearny-Ln_Yukon_OK_73099_M90107-54870
" $267,902 ",3,2,1533,https://www.realtor.com/realestateandhomes-detail/401-Nest-Cir_Yukon_OK_73099_M90162-92440
" $288,717 ",4,2,1707,https://www.realtor.com/realestateandhomes-detail/444-Kearny-Ln_Yukon_OK_73099_M96121-33311
" $271,983 ",3,2,1496,https://www.realtor.com/realestateandhomes-detail/12901-NW-4th-St_Yukon_OK_73099_M98196-33469
" $271,563 ",3,2,1496,https://www.realtor.com/realestateandhomes-detail/3409-MT-Nebo-Dr_Yukon_OK_73099_M99828-55208
" $242,544 ",3,2,1295,https://www.realtor.com/realestateandhomes-detail/3324-Pagoda-Pead-Dr_Yukon_OK_73099_M99385-00395
" $316,844 ",3,2,1864,https://www.realtor.com/realestateandhomes-detail/813-Firefork-Ave_Yukon_OK_73099_M70284-34437
" $314,888 ",3,2,1864,https://www.realtor.com/realestateandhomes-detail/817-Scully-Rd_Yukon_OK_73099_M70291-42490
" $350,816 ",4,2,2049,https://www.realtor.com/realestateandhomes-detail/816-Scully-Rd_Yukon_OK_73099_M70286-20767
" $340,902 ",3,2,2123,https://www.realtor.com/realestateandhomes-detail/800-Scully-Rd_Yukon_OK_73099_M70288-07096
" $245,569 ",3,2,1295,https://www.realtor.com/realestateandhomes-detail/420-Kearny-Ln_Yukon_OK_73099_M95992-61149
" $367,936 ",3,2,2327,https://www.realtor.com/realestateandhomes-detail/804-Scully-Rd_Yukon_OK_73099_M70287-69831
" $348,436 ",3,2,2123,https://www.realtor.com/realestateandhomes-detail/821-Scully-Rd_Yukon_OK_73099_M70290-30692
" $374,900 ",4,3,2345,https://www.realtor.com/realestateandhomes-detail/11045-NW-20th-Ter_Yukon_OK_73099_M99665-64725
" $388,783 ",3,2.5,2205,https://www.realtor.com/realestateandhomes-detail/800-Firefork-Ave_Yukon_OK_73099_M70280-61778
" $502,121 ",4,3.5,3047,https://www.realtor.com/realestateandhomes-detail/12701-SW-26th-St_Yukon_OK_73099_M92212-27322
" $387,420 ",3,2.5,2348,https://www.realtor.com/realestateandhomes-detail/10800-Blue-River-Dr_Yukon_OK_73099_M77609-58596
" $606,599 ",4,2.5,2957,https://www.realtor.com/realestateandhomes-detail/925-S-Cimarron-Rd_Yukon_OK_73099_M99833-23046
" $459,121 ",4,3,2470,https://www.realtor.com/realestateandhomes-detail/2900-Bens-Cir_Yukon_OK_73099_M97969-27176
" $449,121 ",4,2.5,2366,https://www.realtor.com/realestateandhomes-detail/12808-SW-27th-Ter_Yukon_OK_73099_M90562-91238
" $578,999 ",3,2.5,2816,https://www.realtor.com/realestateandhomes-detail/1001-S-Cimarron-Rd_Oklahoma-City_OK_73099_M93292-95527
" $464,121 ",4,3,2751,https://www.realtor.com/realestateandhomes-detail/12825-SW-26th-St_Yukon_OK_73099_M90615-03584
" $499,121 ",4,2.5,3067,https://www.realtor.com/realestateandhomes-detail/2701-Bens-Cir_Yukon_OK_73099_M97131-57139
" $449,140 ",4,3,2642,https://www.realtor.com/realestateandhomes-detail/3424-Sage-Brush-Pl_Yukon_OK_73099_M82649-04103
" $576,199 ",3,2.5,2801,https://www.realtor.com/realestateandhomes-detail/701-Cimarron-Rd-NW_Yukon_OK_73099_M94026-02088
" $449,121 ",4,2.5,2366,https://www.realtor.com/realestateandhomes-detail/2716-Samuel-Cir_Yukon_OK_73099_M91505-53328
" $449,121 ",3,2.5,2366,https://www.realtor.com/realestateandhomes-detail/12816-SW-27th-Ter_Yukon_OK_73099_M92536-89587
